;; Informe Ciclo medición de humedad 

Fecha:;07-09-2026;;Hora:;10:25

Ciclo;Muestras;Especie;% mc;deb_std;máximo;mímimo;
3367;655;N/A;9;1,29;21,7;5,7;

Fecha Inicio;26-08-2026 ; 8:12:11;;Fecha Término;01-09-2026 ; 9:26:22

Criterio de Aceptacion
Humedad: ;9%  +/-2
Aprueba: ;85%
Bajas: ;2,44%
Altas: ;1,22%
Rango: ;96,34%
Resultado: ;Aprobado


HISTOGRAMA

Humedad;% Muestras
6;4
7;31
8;147
9;273
10;169
11;24
13;1
15;1
17;2
19;1
22;2
;
MUESTRAS

Muestra;Valor;Muestra;Valor;Muestra;Valor;Muestra;Valor;

1;8,1;165;9,1;329;9,9;493;8,8
2;6,5;166;9,1;330;9,5;494;8,6
3;6,7;167;9,1;331;10,3;495;8,3
4;7,1;168;9,3;332;9,2;496;8,2
5;7,4;169;10;333;8,5;497;8,1
6;6,7;170;9,1;334;8,9;498;7,2
7;7,4;171;9,3;335;9,1;499;8,6
8;9,1;172;9,2;336;9,3;500;9,6
9;8,5;173;9,2;337;9,2;501;8,5
10;8,5;174;9,5;338;9,3;502;8,8
11;7,8;175;9,3;339;8,1;503;8,9
12;8,2;176;8,9;340;10,6;504;9
13;8,5;177;8,9;341;9,5;505;9,3
14;8,5;178;8,5;342;8,6;506;9,2
15;8,1;179;9,3;343;8,2;507;9,8
16;7,8;180;9,1;344;8,8;508;9,9
17;7,6;181;8,2;345;8,8;509;10,5
18;8,5;182;7,4;346;7,6;510;9
19;7,9;183;7,4;347;9,2;511;8,1
20;7,6;184;7,6;348;9,2;512;10
21;8,1;185;7,9;349;9,1;513;8,2
22;7,8;186;9,2;350;7,8;514;9,3
23;7,6;187;9;351;9,1;515;9,2
24;7,8;188;8,6;352;9,3;516;10,2
25;7,6;189;8,6;353;8,9;517;9,8
26;9,8;190;8,9;354;8,8;518;9,3
27;9;191;6,7;355;9,1;519;9,9
28;8,1;192;9,1;356;8,5;520;10,5
29;9,1;193;9,5;357;7,2;521;10
30;9,6;194;9,5;358;7,1;522;10
31;9,8;195;10,5;359;9;523;9,8
32;9,3;196;10,3;360;8,8;524;10
33;9,9;197;10,6;361;7,9;525;10,5
34;9,9;198;9,2;362;21,5;526;9,3
35;10;199;9,5;363;21,7;527;8,6
36;10,2;200;9,9;364;18,5;528;8,9
37;10;201;9,8;365;9,5;529;8,9
38;9,9;202;9,8;366;8,5;530;9
39;9,8;203;9,8;367;9,5;531;8,5
40;8,8;204;9,2;368;9,5;532;8,9
41;9,1;205;9,1;369;9,5;533;8,2
42;9,1;206;9,3;370;9,6;534;8,1
43;8,9;207;9,3;371;9,5;535;6,5
44;8,9;208;8,9;372;8,3;536;8,5
45;9;209;9,1;373;9,1;537;9,9
46;7,1;210;9,3;374;9,3;538;9,8
47;8,8;211;9;375;9,2;539;8,6
48;8,8;212;9,2;376;9,1;540;9
49;8,5;213;9,2;377;9,1;541;9,6
50;7,9;214;9,2;378;8,3;542;9,6
51;9,1;215;9,3;379;7,1;543;9,5
52;10,3;216;7,8;380;9,6;544;9,3
53;9,9;217;8,3;381;9,6;545;9
54;9,9;218;8,9;382;9,2;546;8,9
55;9,6;219;9,2;383;9,1;547;9,1
