;; Informe Ciclo medición de humedad 

Fecha:;07-09-2026;;Hora:;10:23

Ciclo;Muestras;Especie;% mc;deb_std;máximo;mímimo;
3362;651;N/A;8,19;0,83;13,4;6;

Fecha Inicio;26-08-2026 ; 8:09:00;;Fecha Término;26-08-2026 ; 12:58:23

Criterio de Aceptacion
Humedad: ;9%  +/-2
Aprueba: ;85%
Bajas: ;4,61%
Altas: ;1,69%
Rango: ;93,7%
Resultado: ;Aprobado


HISTOGRAMA

Humedad;% Muestras
6;6
7;81
8;353
9;182
10;18
11;3
12;5
13;3
;
MUESTRAS

Muestra;Valor;Muestra;Valor;Muestra;Valor;Muestra;Valor;

1;8,2;164;7,8;327;7,8;490;7,5
2;8,3;165;8,2;328;8,3;491;8,5
3;8,9;166;7,9;329;7,9;492;8,5
4;9,1;167;7,2;330;8,1;493;8,2
5;8,5;168;7,5;331;8,6;494;7,8
6;8,1;169;7,5;332;8,8;495;8,3
7;7,6;170;7,6;333;8,9;496;8,1
8;7,8;171;9,2;334;7,4;497;7,6
9;8,2;172;9,9;335;7,8;498;7,8
10;7,9;173;8,5;336;8,3;499;7,8
11;8,2;174;9;337;8,3;500;7,5
12;7,9;175;8,3;338;6,9;501;7,9
13;7,8;176;8,3;339;8,5;502;8,1
14;7,9;177;7,9;340;7,4;503;8,1
15;8,1;178;8,5;341;7,2;504;8,1
16;8,3;179;8,1;342;7,6;505;8,1
17;7,9;180;8,2;343;6,7;506;8,1
18;7,8;181;8,1;344;6,7;507;8,1
19;7,6;182;7,9;345;7,4;508;7,8
20;8,2;183;8,2;346;7,1;509;9
21;7,9;184;8,6;347;6,8;510;9,5
22;8,2;185;8,2;348;7,1;511;9,9
23;8,2;186;8,2;349;7,8;512;8,9
24;8,3;187;8,2;350;7,2;513;8,8
25;7,4;188;8,1;351;6,9;514;7,6
26;8,6;189;8,1;352;7,2;515;7,9
27;7,6;190;8,1;353;7,2;516;8,3
28;8,3;191;8,8;354;7,5;517;7,9
29;8,3;192;8,8;355;7,6;518;7,9
30;8,6;193;8,2;356;6,3;519;7,9
31;9;194;8,1;357;8,5;520;8,1
32;9,1;195;8,8;358;7,8;521;7,9
33;8,9;196;8,5;359;7,2;522;7,9
34;8,8;197;7,9;360;8,3;523;7,9
35;8,3;198;7,9;361;8,6;524;8,1
36;8,3;199;8,6;362;8,5;525;8,1
37;8,5;200;9,3;363;8,2;526;7,8
38;8,6;201;8,8;364;8,5;527;7,2
39;8,8;202;8,8;365;9;528;6,8
